"V1" "V2" "V3" "V4"
0.5 0.5 0.5 0.5
0 0.5 0.5 0.5
1 0.5 0.5 0.5
0.5 0 0.5 0.5
0.5 1 0.5 0.5
0.5 0.5 0 0.5
0.5 0.5 1 0.5
0.5 0.5 0.5 0
0.5 0.5 0.5 1
0 0 0 0
1 1 1 1
1 0 0 0
0 1 1 1
0 1 0 0
1 0 1 1
0 0 1 0
1 1 0 1
0 0 0 1
1 1 1 0
1 1 0 0
0 1 1 0
0 0 1 1
1 0 0 1
1 0 1 0
0 1 0 1
0.820420975895104 0.949349488168082 0.059233073679934 0.938380869312823
0.0819154852688371 0.0579154820079566 0.232721519212646 0.0878192303498508
0.225012302813411 0.0704275668358605 0.94534197340181 0.884240753322956
0.110481172800064 0.0147448742718552 0.0411285664777097 0.548639627959346
0.0779879648835049 0.226355353661347 0.0829186026458046 0.901484730795346
0.734893222172104 0.190818418133858 0.934378928781371 0.0158468349909526
0.0313619250919146 0.345922954620619 0.822662027509068 0.0341008917239378
0.803975134957 0.969451661672792 0.500192522169527 0.994089429019368
0.300084217738913 0.990476803341153 0.130734565504099 0.126798153680284
0.00476057229752769 0.691974733254028 0.183848912121903 0.910856237886037
0.845186281225324 0.501168550916191 0.0270434852682229 0.0523065296220011
0.89406824370235 0.856884920045559 0.497883557964087 0.00125714249224984
0.373187721554132 0.957137035689811 0.836510545857891 0.92920236977443
0.989017460196919 0.494617171862046 0.280827729024168 0.980223638191092
0.954266083059338 0.769104719922325 0.959279246257211 0.563159014880512
0.721013320304337 0.0448618518712465 0.899750163724093 0.254080198414158
0.0301583411674073 0.639588022302632 0.147017170307663 0.172018575209222
0.652307099298923 0.207623104455706 0.98749728340772 0.827624740177271
0.164946131131728 0.918257179298962 0.240140299178165 0.792260057980457
0.138631608839205 0.87265972259047 0.863052887310914 0.308676596399891
0.771350208706281 0.105693433324632 0.570727135444031 0.0631061147178116
0.933942792533344 0.517721574778989 0.887446597953385 0.757120557253074
0.44781154631346 0.899036052043812 0.0143638931222085 0.508299835208163
0.546274315063783 0.0936894047954411 0.0767035590033629 0.722551260794717
0.193463981377135 0.0219558335811598 0.702137603544543 0.387515903446911
0.912050995426398 0.12024288563407 0.283170472332131 0.515848183051276
0.974581227033923 0.324423827398277 0.629482021893637 0.740011197198328
0.750900072624063 0.180016860638716 0.342779635400802 0.867905574992619
0.950919208677078 0.64927798170902 0.194368011772895 0.543150643850822
0.56526588003544 0.73851816473325 0.800958380965312 0.107829698386922
0.682026463739021 0.457246160316572 0.104704122331896 0.83404837537455
0.836049255820399 0.30816962395329 0.757260168200446 0.20636391784501
0.886257543497777 0.56182197999442 0.668055038720922 0.156316566142777
0.278442295628338 0.605709332288825 0.787899837217992 0.109468849266705
0.52480622425719 0.729234895214177 0.976679079591122 0.395194756296405
0.145879303585389 0.796070333155512 0.740002828533761 0.634268328623875
0.863179277490417 0.754286973868147 0.605089771899657 0.781052003741934
0.43286538378743 0.249727004367742 0.110084250849468 0.242267033801909
0.187136826581991 0.542994398005249 0.67866584503281 0.851902660069754
0.716256300882378 0.143869000057748 0.773068498954672 0.581463226888445
0.283362656395184 0.925431604555342 0.408081574954849 0.603815567148558
0.0553811352365301 0.360509131936851 0.36563213264526 0.462065804411395
0.102814663190657 0.612887725637847 0.614321099161316 0.284106789073121
0.25996648695218 0.718746356324118 0.166441925288382 0.612336931812024
0.416917759197531 0.843240095902729 0.449380719590408 0.188079238290811
0.247431023952231 0.162480072223843 0.646437123283249 0.653139086363808
0.559828953209944 0.442909360976046 0.470364375330973 0.961766874002933
0.463060306465195 0.825864360394917 0.211648520322342 0.326500245799252
0.398193554516183 0.402290149577311 0.91824526578057 0.353805740534881
0.351996964946011 0.275118094581558 0.583560115406726 0.150277969558374
0.619386958809628 0.886028185635951 0.536862983364699 0.335867000769213
0.625835024584376 0.797577526660461 0.305412028919818 0.688058077237656
0.601194865528669 0.329413916435442 0.844069020888128 0.372661846999108
0.490629847241507 0.129253919523762 0.516863208882569 0.674403246546717
0.32607985893992 0.673392663244158 0.398148197098635 0.809123592247488
0.784368035710941 0.422728274763358 0.251735743058816 0.407264007473714
0.211980008483806 0.376626025048608 0.721420598943951 0.47017912258525
0.668577808130067 0.290005485781876 0.358729766390752 0.272229748072277
0.341300420106563 0.406539545798296 0.317949959706311 0.703528427151468
0.585776861124032 0.666259404424636 0.710803363559535 0.657593185256701
